Cut,Carat,Price_Category,Color,Clarity,depth,table,price,x,y,z,Cut_Code,Price_Double,Price_Status,High_Price,price_clipped,Price_Per_Carat,Average_Cut_Price,Average_Price,Max_Price,Count,Cut_List
Ideal,0.23,Unknown,E,SI2,61.5,55.0,326.0,3.95,3.98,2.43,5,652.0,0.0,0.0,500.0,1417.391304347826,326.0,326.0,326.0,1,['Ideal']
Premium,0.21,Unknown,E,SI1,59.8,61.0,326.0,3.89,3.84,2.31,4,652.0,0.0,0.0,500.0,1552.3809523809525,330.0,330.0,334.0,2,['Premium']
Good,0.23,Unknown,E,VS1,56.9,65.0,327.0,4.05,4.07,2.31,2,654.0,0.0,0.0,500.0,1421.7391304347825,331.0,331.0,335.0,2,['Good']
Premium,0.29,Unknown,I,VS2,62.4,58.0,334.0,4.2,4.23,2.63,4,668.0,0.0,0.0,500.0,1151.7241379310346,330.0,330.0,334.0,2,['Premium']
Good,0.31,Unknown,J,SI2,63.3,58.0,335.0,4.34,4.35,2.75,2,670.0,0.0,0.0,500.0,1080.6451612903227,331.0,331.0,335.0,2,['Good']
VeryGood,0.24,Unknown,J,VVS2,62.8,57.0,336.0,3.94,3.96,2.48,3,672.0,0.0,0.0,500.0,1400.0,337.0,337.0,338.0,4,['VeryGood']
VeryGood,0.24,Unknown,I,VVS1,62.3,57.0,337.0,3.95,3.98,2.47,3,674.0,0.0,0.0,500.0,1404.1666666666667,337.0,337.0,338.0,4,['VeryGood']
VeryGood,0.26,Unknown,H,SI1,61.9,55.0,337.0,4.07,4.11,2.53,3,674.0,0.0,0.0,500.0,1296.1538461538462,337.0,337.0,338.0,4,['VeryGood']
Fair,0.22,Unknown,E,VS2,65.1,61.0,337.0,3.87,3.78,2.49,1,674.0,0.0,0.0,500.0,1531.8181818181818,337.0,337.0,337.0,1,['Fair']
VeryGood,0.23,Unknown,H,VS1,59.4,61.0,338.0,4.0,4.05,2.39,3,676.0,0.0,0.0,500.0,1469.5652173913043,337.0,337.0,338.0,4,['VeryGood']
